sr,items,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Month,Profit/item,,,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Profit/item
108,Oreo Biscuits,10,20.00,16.00,160.00,9,180.00,20.00,Jan,4.00,,,,,,,,,,
109,Parachute Coconut Oil,15,82.00,68.85,"1,032.80",8,656.00,-376.80,Jan,13.15,,,,,,,,,,
110,Cadbury Celebrations,8,160.00,138.88,"1,111.00",8,1280.00,169.00,June,21.12,,,,,,,,,,
111,Parle Candy,6,60.00,38.00,228.00,5,300.00,72.00,Jan,22.00,,,,,,,,,,
112,Dabur Amla Hair Oil,6,53.00,43.75,262.50,6,318.00,55.50,April,9.25,,,,,,,,,,
113,Parachute Coconut Oil,10,82.00,70.60,706.00,6,492.00,-214.00,Oct,11.40,,,,,,,,,,
114,Diaper Pants ,4,399.00,288.00,"1,152.00",4,1596.00,444.00,March,111.00,,,,,,,,,,
115,Ching's Masala,20,10.00,8.40,168.00,19,190.00,22.00,June,1.60,,,,,,,,,,
116,Lipton Green Tea,2,170.00,131.50,263.00,2,340.00,77.00,March,38.50,,,,,,,,,,
117,Lipton Green Tea,2,170.00,131.50,263.00,2,340.00,77.00,Oct,38.50,,,,,,,,,,
118,Vaseline,2,240.00,204.20,408.40,2,480.00,71.60,March,35.80,,,,,,,,,,
119,Patanjali Shampoo,6,50.00,42.00,252.00,6,300.00,48.00,Jan,8.00,,,,,,,,,,
120,Patanjali Facewash,3,105.00,83.67,251.00,3,315.00,64.00,June,21.33,,,,,,,,,,
121,Brooke Bond Red Label Tea,3,130.00,115.53,346.60,3,390.00,43.40,Jan,14.47,,,,,,,,,,
122,Patanjali Toothpaste,12,60.00,53.10,637.20,9,540.00,-97.20,August,6.90,,,,,,,,,,
123,Bikano Bikaneri Bhujia,2,60.00,50.40,100.80,2,120.00,19.20,Jan,9.60,,,,,,,,,,
124,Bikano Bikaneri Bhujia,2,119.00,99.96,199.90,2,238.00,38.10,Jan,19.04,,,,,,,,,,
125,Dettol Soap,5,80.00,70.40,352.00,5,400.00,48.00,July,9.60,,,,,,,,,,
126,Cadbury Celebrations,8,110.00,95.48,763.80,5,550.00,-213.80,Oct,14.52,,,,,,,,,,
127,Face Wash,6,95.00,80.80,484.80,6,570.00,85.20,Sept,14.20,,,,,,,,,,
128,Kissan Tomato Ketchup,20,15.00,13.41,268.20,15,225.00,-43.20,April,1.59,,,,,,,,,,
129,Saffola Oats,8,235.00,185.65,"1,485.20",8,1880.00,394.80,August,49.35,,,,,,,,,,
130,Patanjali Facewash,3,130.00,111.27,333.80,3,390.00,56.20,Oct,18.73,,,,,,,,,,
131,Patanjali Toothpaste,12,20.00,17.50,210.00,8,160.00,-50.00,Nov,2.50,,,,,,,,,,
132,Patanjali Shampoo,3,115.00,98.43,295.30,3,345.00,49.70,May,16.57,,,,,,,,,,
133,Parle Candy,3,170.00,82.00,246.00,3,510.00,264.00,Dec,88.00,,,,,,,,,,
134,Cookies,48,10.00,8.35,400.60,38,380.00,-20.60,Nov,1.65,,,,,,,,,,
135,Saffola Oats,5,215.00,183.35,916.70,5,1075.00,158.30,Jan,31.65,,,,,,,,,,
136,Lipton Green Tea,4,175.00,134.02,536.10,4,700.00,163.90,March,40.98,,,,,,,,,,
137,Lipton Green Tea,4,175.00,134.02,536.10,4,700.00,163.90,Nov,40.98,,,,,,,,,,
138,Dabur Amla Hair Oil,4,225.00,181.77,727.10,4,900.00,172.90,March,43.23,,,,,,,,,,
139,Glow & Lovely Facewash,12,125.00,110.60,"1,327.20",7,875.00,-452.20,July,14.40,,,,,,,,,,
140,Indulekha Oil,3,234.00,177.71,533.10,3,702.00,168.90,March,56.30,,,,,,,,,,
141,Mama Earth Face Wash,5,125.00,80.44,402.20,5,625.00,222.80,Nov,44.56,,,,,,,,,,
142,Horlicks,3,294.00,260.75,782.20,3,882.00,99.80,August,33.25,,,,,,,,,,
143,Bournvita,12,30.00,26.24,314.80,8,240.00,-74.80,Jan,3.77,,,,,,,,,,
144,Ayur Herbals Cream,6,100.00,74.25,445.50,6,600.00,154.50,Oct,25.75,,,,,,,,,,
145,Closeup Toothpaste,24,10.00,8.07,193.70,21,210.00,16.30,Oct,1.93,,,,,,,,,,
146,Parachute Coconut Oil,5,75.00,63.93,319.70,5,375.00,55.30,Nov,11.07,,,,,,,,,,
147,Parachute Coconut Oil,3,226.00,194.33,583.00,3,678.00,95.00,Dec,31.67,,,,,,,,,,
148,Bikaji Bhujia 200g,1,58.00,47.42,47.40,1,58.00,10.60,May,10.58,,,,,,,,,,
149,Bikano Bikaneri Bhujia,4,60.00,48.71,194.80,4,240.00,45.20,Jan,11.29,,,,,,,,,,
150,Dr Oetker Veg Mayonnise,6,45.00,38.85,233.10,6,270.00,36.90,Nov,6.15,,,,,,,,,,
151,Dr Oetker Veg Mayonnise,4,89.00,70.49,282.00,4,356.00,74.00,April,18.51,,,,,,,,,,
152,Parle Candy,15,30.00,23.88,358.20,6,180.00,-178.20,Sept,6.12,,,,,,,,,,
153,Kissan Tomato Ketchup,20,15.00,13.34,266.90,7,105.00,-161.90,March,1.66,,,,,,,,,,
154,Kissan Tomato Ketchup,3,150.00,109.90,329.70,3,450.00,120.30,May,40.10,,,,,,,,,,
155,Closeup Toothpaste,12,130.00,98.74,"1,184.90",5,650.00,-534.90,Jan,31.26,,,,,,,,,,
156,Ching's Masala,12,25.00,20.40,244.80,9,225.00,-19.80,Sept,4.60,,,,,,,,,,
157,Ching's Masala,20,10.00,8.36,167.20,18,180.00,12.80,March,1.64,,,,,,,,,,
158,Bikano Bikaneri Bhujia,2,60.00,50.15,100.30,2,120.00,19.70,Feb,9.85,,,,,,,,,,
159,Bikaji Bhujia 400g,4,120.00,101.49,406.00,4,480.00,74.00,Jan,18.51,,,,,,,,,,
160,Kellogg's,2,299.00,254.37,508.70,2,598.00,89.30,August,44.63,,,,,,,,,,
161,Dukes (snacks),6,60.00,26.87,161.20,6,360.00,198.80,April,33.14,,,,,,,,,,
162,Parle Candy,6,60.00,38.00,228.00,6,360.00,132.00,April,22.00,,,,,,,,,,
163,Parle Candy,1,60.00,38.00,38.00,1,60.00,22.00,May,22.00,,,,,,,,,,
164,Dove soap,5,61.00,54.30,271.50,5,305.00,33.50,July,6.70,,,,,,,,,,
165,Brooke Bond Red Label Tea,3,135.00,120.58,361.70,3,405.00,43.30,Jan,14.42,,,,,,,,,,
166,Cookies,48,10.00,8.43,404.60,40,400.00,-4.60,March,1.57,,,,,,,,,,
